                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6961,                 1.3534,                 1.3395,                0.63507,                0.30316,                0.40609,                0.20244,                 2.0686,                    inf,                 1.6477,               0.070265,              0.0033038,              0.0033038
                      1,                 1.6464,                 1.0729,                 1.3282,                0.58823,                0.36243,                0.40451,                0.18923,                 2.0267,                    inf,                   1.74,               0.039937,              0.0063086,              0.0063086
                      2,                 1.6482,                 1.0634,                 1.3413,                0.66936,                0.41585,                0.49539,                0.23652,                 1.8822,                    inf,                 1.5929,              0.0092784,              0.0089834,              0.0089834
                      3,                 1.6153,                 1.0336,                 1.3278,                 0.6779,                0.46818,                0.52914,                0.26637,                  1.708,                    inf,                 1.4495,               0.008515,               0.008515,               0.008515
                      4,                 1.5837,                  1.004,                 1.3172,                0.74074,                0.49634,                0.57233,                0.30489,                 1.6112,                    inf,                 1.3637,               0.008515,               0.008515,               0.008515
                      5,                 1.5682,                0.98456,                 1.3094,                0.74206,                0.49429,                0.56997,                0.30816,                 1.5607,                    inf,                 1.3268,                0.00802,                0.00802,                0.00802
                      6,                  1.549,                0.96633,                 1.2998,                0.74516,                 0.4994,                 0.5858,                0.31002,                 1.6034,                    inf,                 1.3478,               0.007525,               0.007525,               0.007525
                      7,                 1.5395,                0.95814,                  1.294,                  0.783,                0.49899,                0.60158,                0.32907,                  1.545,                    inf,                 1.3042,                0.00703,                0.00703,                0.00703
                      8,                 1.5227,                0.94427,                 1.2854,                0.76177,                0.53383,                0.60915,                0.32401,                 1.6062,                    inf,                 1.3774,               0.006535,               0.006535,               0.006535
                      9,                  1.504,                0.92411,                 1.2793,                0.76152,                0.53592,                0.60933,                0.32254,                 1.5758,                    inf,                 1.3427,                0.00604,                0.00604,                0.00604
                     10,                 1.5009,                0.88698,                 1.2897,                0.78604,                0.52546,                0.62638,                0.34862,                 1.5157,                    inf,                 1.2862,               0.005545,               0.005545,               0.005545
                     11,                 1.4817,                 0.8691,                 1.2795,                0.78891,                 0.5279,                0.62875,                0.35128,                  1.501,                    inf,                 1.2728,                0.00505,                0.00505,                0.00505
                     12,                 1.4799,                0.86481,                 1.2745,                0.77128,                0.54045,                 0.6215,                0.34573,                 1.5049,                    inf,                 1.2909,               0.004555,               0.004555,               0.004555
                     13,                 1.4608,                0.84645,                 1.2649,                0.79663,                0.53751,                0.63044,                0.35339,                  1.475,                    inf,                 1.2669,                0.00406,                0.00406,                0.00406
                     14,                 1.4481,                 0.8342,                  1.255,                0.79837,                0.54977,                0.64427,                0.36276,                 1.4523,                    inf,                 1.2649,               0.003565,               0.003565,               0.003565
                     15,                 1.4416,                0.82672,                 1.2494,                0.79839,                0.56496,                 0.6478,                0.36769,                 1.4334,                    inf,                 1.2382,                0.00307,                0.00307,                0.00307
                     16,                 1.4241,                0.81288,                 1.2399,                0.80287,                0.55582,                0.65485,                0.37284,                 1.4442,                    inf,                 1.2587,               0.002575,               0.002575,               0.002575
                     17,                  1.408,                0.79681,                 1.2298,                0.80613,                0.57344,                0.66515,                0.38086,                 1.4045,                    inf,                 1.2286,                0.00208,                0.00208,                0.00208
                     18,                 1.3969,                 0.7853,                 1.2225,                0.80991,                0.57348,                0.66866,                0.38645,                 1.3961,                    inf,                 1.2217,               0.001585,               0.001585,               0.001585
                     19,                 1.3787,                0.77113,                   1.21,                 0.8197,                0.57688,                 0.6709,                0.39302,                 1.3704,                    inf,                 1.2004,                0.00109,                0.00109,                0.00109
