                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1544,                 2.0293,                 1.4066,                0.36231,                0.23111,                0.23826,                0.07912,                 2.7952,                 1.5082,                 1.2816,             0.00066514,             0.00066514,             0.00066514
                      1,                 2.9476,                 1.6125,                 1.3096,                0.40257,                0.23933,                0.25714,                0.08539,                 2.7455,                 1.4623,                  1.268,              0.0012719,              0.0012719,              0.0012719
                      2,                 2.9037,                 1.5879,                 1.2917,                0.36646,                0.26879,                  0.259,                0.08592,                 2.7327,                 1.4911,                 1.2984,              0.0018186,              0.0018186,              0.0018186
                      3,                 2.8696,                 1.5579,                 1.2845,                0.33258,                0.23733,                0.23061,                0.07507,                 2.8692,                  1.555,                 1.2624,                0.00173,                0.00173,                0.00173
                      4,                 2.8411,                 1.5489,                 1.2778,                0.43484,                0.27769,                0.29606,                 0.1005,                 2.6023,                 1.3879,                 1.2365,                0.00173,                0.00173,                0.00173
                      5,                 2.8175,                 1.5232,                 1.2696,                0.45619,                0.29212,                 0.3208,                0.11206,                 2.5678,                 1.3759,                 1.2237,                0.00164,                0.00164,                0.00164
                      6,                 2.8024,                  1.507,                 1.2623,                0.45638,                0.26433,                0.29892,                0.10427,                 2.6211,                 1.3859,                 1.2205,                0.00155,                0.00155,                0.00155
                      7,                 2.7794,                 1.4862,                 1.2509,                 0.5004,                0.30959,                0.35066,                0.12397,                 2.4939,                 1.3221,                 1.1909,                0.00146,                0.00146,                0.00146
                      8,                 2.7492,                 1.4663,                 1.2436,                0.49267,                0.30462,                0.34375,                0.11775,                 2.5421,                 1.3225,                 1.2082,                0.00137,                0.00137,                0.00137
                      9,                 2.7274,                 1.4576,                   1.24,                0.48914,                 0.3222,                0.35579,                0.12506,                 2.4611,                 1.3103,                 1.1775,                0.00128,                0.00128,                0.00128
                     10,                 2.6926,                 1.4841,                 1.2732,                0.50959,                0.31178,                0.35776,                0.12583,                 2.5025,                 1.2979,                  1.193,                0.00119,                0.00119,                0.00119
                     11,                 2.6709,                 1.4526,                 1.2703,                 0.5125,                0.31776,                0.36049,                0.12741,                 2.4852,                 1.2911,                 1.1931,                 0.0011,                 0.0011,                 0.0011
                     12,                 2.6609,                 1.4396,                 1.2605,                0.53353,                0.30256,                0.35717,                0.12849,                  2.463,                 1.3085,                 1.1764,                0.00101,                0.00101,                0.00101
                     13,                 2.6412,                 1.4234,                 1.2487,                0.54264,                0.31617,                0.37267,                0.13238,                 2.4645,                 1.2704,                 1.1812,                0.00092,                0.00092,                0.00092
                     14,                 2.6282,                 1.4165,                 1.2527,                0.55662,                0.32742,                0.38518,                0.13953,                 2.4194,                 1.2339,                 1.1733,                0.00083,                0.00083,                0.00083
                     15,                 2.6113,                 1.3961,                 1.2469,                0.53594,                0.32902,                0.37859,                0.13564,                 2.4207,                 1.2574,                 1.1695,                0.00074,                0.00074,                0.00074
                     16,                 2.6066,                 1.3861,                 1.2372,                0.52029,                0.32873,                0.37771,                0.13757,                 2.4004,                 1.2544,                 1.1596,                0.00065,                0.00065,                0.00065
                     17,                 2.5823,                 1.3766,                 1.2346,                0.52528,                0.31895,                0.36761,                 0.1295,                 2.4749,                  1.261,                  1.178,                0.00056,                0.00056,                0.00056
                     18,                 2.5786,                 1.3664,                 1.2246,                0.54994,                0.32553,                0.38279,                0.13734,                 2.4401,                 1.2348,                 1.1671,                0.00047,                0.00047,                0.00047
                     19,                 2.5545,                 1.3528,                 1.2215,                0.55298,                0.32279,                0.37536,                 0.1312,                 2.4678,                 1.2362,                 1.1756,                0.00038,                0.00038,                0.00038
