                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1544,                 2.0293,                 1.4066,                0.36231,                0.23111,                0.23826,                0.07912,                 2.7952,                 1.5082,                 1.2816,             0.00066514,             0.00066514,             0.00066514
                      1,                 2.9451,                 1.6103,                 1.3086,                0.36873,                0.24006,                0.24604,                0.08084,                 2.7547,                 1.4749,                 1.2708,              0.0012653,              0.0012653,              0.0012653
                      2,                  2.906,                 1.5888,                 1.2929,                0.38384,                  0.267,                0.26508,                0.08946,                 2.6767,                 1.4615,                 1.2608,              0.0017988,              0.0017988,              0.0017988
                      3,                 2.8663,                 1.5523,                 1.2841,                0.41179,                0.27559,                0.28785,                0.09837,                 2.6589,                 1.4476,                 1.2211,              0.0017003,              0.0017003,              0.0017003
                      4,                 2.8446,                 1.5515,                 1.2791,                0.41336,                0.27332,                0.28698,                0.09947,                 2.5997,                 1.4085,                 1.2355,              0.0017003,              0.0017003,              0.0017003
                      5,                 2.8157,                 1.5253,                 1.2688,                0.44403,                0.29075,                0.31633,                 0.1109,                 2.5596,                 1.3922,                 1.2054,              0.0016004,              0.0016004,              0.0016004
                      6,                 2.8018,                   1.51,                 1.2636,                0.45902,                0.27857,                0.31348,                0.10985,                  2.579,                 1.3662,                 1.2129,              0.0015005,              0.0015005,              0.0015005
                      7,                 2.7788,                 1.4845,                 1.2513,                0.49613,                0.31094,                0.35098,                0.12272,                 2.4903,                  1.317,                 1.1995,              0.0014006,              0.0014006,              0.0014006
                      8,                 2.7426,                 1.4613,                 1.2434,                0.50481,                0.30473,                0.34741,                0.11955,                 2.5223,                 1.3122,                 1.2053,              0.0013007,              0.0013007,              0.0013007
                      9,                 2.7247,                 1.4551,                   1.24,                 0.4725,                0.32037,                0.35028,                0.12476,                 2.4562,                 1.3184,                 1.1877,              0.0012008,              0.0012008,              0.0012008
                     10,                 2.6864,                 1.4756,                 1.2716,                0.50269,                 0.3099,                0.35441,                 0.1238,                 2.5221,                 1.3045,                 1.1974,              0.0011009,              0.0011009,              0.0011009
                     11,                 2.6618,                 1.4479,                 1.2665,                 0.5258,                0.31627,                0.36259,                0.12743,                 2.4704,                 1.2898,                 1.1884,               0.001001,               0.001001,               0.001001
                     12,                 2.6538,                 1.4354,                 1.2576,                0.52432,                0.29587,                0.34871,                0.12482,                 2.5004,                  1.307,                 1.1883,              0.0009011,              0.0009011,              0.0009011
                     13,                 2.6347,                 1.4171,                 1.2463,                0.55763,                0.31274,                0.37096,                0.13052,                 2.4809,                 1.2773,                 1.1804,              0.0008012,              0.0008012,              0.0008012
                     14,                 2.6227,                  1.409,                 1.2501,                0.56155,                0.32723,                0.38611,                0.13862,                 2.4325,                 1.2289,                  1.179,              0.0007013,              0.0007013,              0.0007013
                     15,                 2.6015,                 1.3891,                  1.243,                0.53944,                0.33252,                0.38166,                0.13671,                 2.4185,                 1.2467,                 1.1721,              0.0006014,              0.0006014,              0.0006014
                     16,                 2.5893,                 1.3775,                 1.2316,                0.52086,                0.33371,                 0.3808,                0.13898,                 2.4043,                 1.2482,                 1.1613,              0.0005015,              0.0005015,              0.0005015
                     17,                  2.572,                 1.3675,                 1.2307,                0.55872,                0.32994,                0.38826,                0.14139,                 2.4161,                 1.2351,                 1.1629,              0.0004016,              0.0004016,              0.0004016
                     18,                 2.5608,                 1.3566,                 1.2181,                0.55653,                0.33339,                 0.3903,                0.14131,                 2.4217,                 1.2229,                 1.1642,              0.0003017,              0.0003017,              0.0003017
                     19,                  2.537,                 1.3397,                 1.2159,                 0.5593,                0.32469,                0.37859,                 0.1322,                 2.4747,                 1.2314,                 1.1799,              0.0002018,              0.0002018,              0.0002018
