                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1544,                 2.0293,                 1.4066,                0.36231,                0.23111,                0.23826,                0.07912,                 2.7952,                 1.5082,                 1.2816,             0.00066514,             0.00066514,             0.00066514
                      1,                 2.9457,                 1.6113,                 1.3093,                0.39428,                0.23173,                0.25064,                 0.0842,                 2.7629,                 1.4707,                 1.2697,              0.0012659,              0.0012659,              0.0012659
                      2,                  2.902,                 1.5844,                 1.2895,                0.36377,                0.25636,                0.25252,                0.08511,                 2.6979,                 1.5317,                 1.2881,              0.0018006,              0.0018006,              0.0018006
                      3,                 2.8711,                 1.5536,                 1.2864,                0.38265,                0.27438,                0.27659,                0.09223,                 2.7123,                 1.4789,                 1.2426,               0.001703,               0.001703,               0.001703
                      4,                 2.8365,                 1.5466,                 1.2776,                0.38906,                 0.2652,                0.27007,                0.09395,                 2.6234,                  1.435,                 1.2409,               0.001703,               0.001703,               0.001703
                      5,                 2.8142,                 1.5211,                 1.2692,                0.45252,                0.28843,                0.31678,                0.11169,                 2.5398,                 1.3963,                 1.1987,               0.001604,               0.001604,               0.001604
                      6,                 2.7973,                 1.5067,                 1.2617,                0.46972,                0.28978,                0.32622,                0.11453,                 2.5415,                 1.3487,                 1.2129,               0.001505,               0.001505,               0.001505
                      7,                 2.7822,                 1.4859,                 1.2513,                0.49203,                0.30819,                0.34741,                0.12078,                 2.5096,                  1.319,                 1.2087,               0.001406,               0.001406,               0.001406
                      8,                 2.7484,                  1.467,                 1.2434,                0.49917,                0.30292,                0.34445,                0.11866,                 2.5436,                 1.3209,                 1.2051,               0.001307,               0.001307,               0.001307
                      9,                 2.7263,                  1.455,                 1.2389,                0.47619,                0.32396,                0.35426,                  0.126,                 2.4545,                 1.3256,                  1.179,               0.001208,               0.001208,               0.001208
                     10,                 2.6889,                 1.4812,                 1.2694,                0.49448,                0.31503,                0.35479,                0.12386,                 2.5048,                 1.3201,                  1.195,               0.001109,               0.001109,               0.001109
                     11,                  2.668,                 1.4507,                 1.2682,                0.50547,                0.31638,                0.35858,                0.12726,                  2.472,                 1.2887,                 1.1906,                0.00101,                0.00101,                0.00101
                     12,                 2.6556,                 1.4341,                 1.2572,                0.50472,                 0.2942,                0.34113,                0.12067,                 2.5033,                 1.3314,                 1.1877,               0.000911,               0.000911,               0.000911
                     13,                 2.6353,                 1.4154,                 1.2481,                0.54722,                 0.3205,                0.37679,                0.13571,                 2.4373,                 1.2634,                 1.1767,               0.000812,               0.000812,               0.000812
                     14,                 2.6266,                 1.4131,                 1.2527,                 0.5601,                0.32711,                0.38504,                0.13948,                 2.4214,                 1.2311,                 1.1761,               0.000713,               0.000713,               0.000713
                     15,                  2.608,                 1.3934,                 1.2455,                0.53866,                0.32723,                 0.3768,                0.13547,                 2.4235,                 1.2576,                 1.1744,               0.000614,               0.000614,               0.000614
                     16,                 2.5953,                 1.3806,                 1.2338,                0.52053,                0.33161,                0.37774,                0.13635,                  2.408,                 1.2479,                 1.1679,               0.000515,               0.000515,               0.000515
                     17,                 2.5692,                 1.3699,                 1.2292,                0.53725,                0.32657,                0.37735,                0.13417,                 2.4649,                 1.2548,                 1.1761,               0.000416,               0.000416,               0.000416
                     18,                 2.5622,                 1.3573,                 1.2184,                0.55184,                0.33393,                0.38767,                0.13915,                 2.4341,                 1.2283,                 1.1663,               0.000317,               0.000317,               0.000317
                     19,                 2.5401,                 1.3426,                 1.2181,                0.53304,                0.30742,                0.35477,                0.12026,                  2.529,                 1.2477,                 1.1918,               0.000218,               0.000218,               0.000218
